;0
ID;441546821
ra;197.317468
dec;-60.30834803
pmRA;-39.6103
pmDEC;-20.1315
Tmag;7.7897
objType;STAR
typeSrc;tmgaia2
version;20190415
HIP;64184
TYC;8990-01653-1
UCAC;149-122805
TWOMASS;13091620-6018300
SDSS;
ALLWISE;J130916.14-601830.2
GAIA;6.05585E+18
APASS;30876256
KIC;
POSflag;tmgaia2
e_pmRA;0.0512626
e_pmDEC;0.0564636
PMflag;gaia2
plx;10.4547
e_plx;0.0490498
PARflag;gaia2
gallong;305.1405101
gallat;2.486908782
eclong;225.4775009
eclat;-47.59278604
Bmag;8.636
e_Bmag;0.026
Vmag;8.2
e_Vmag;0.03
umag;
e_umag;
gmag;
e_gmag;
rmag;
e_rmag;
imag;
e_imag;
zmag;
e_zmag;
Jmag;7.403
e_Jmag;0.019
Hmag;7.226
e_Hmag;0.023
Kmag;7.163
e_Kmag;0.031
TWOMflag;AAA-111-111-000-0-0
prox;
w1mag;7.12
e_w1mag;0.027
w2mag;7.141
e_w2mag;0.02
w3mag;6.905
e_w3mag;0.018
w4mag;3.921
e_w4mag;0.023
GAIAmag;8.09394
e_GAIAmag;0.000327
e_Tmag;0.006
TESSflag;gbprp
SPFlag;spect
Teff;6613
e_Teff;125.704
logg;4.23
e_logg;0.0873709
MH;
e_MH;
rad;1.4927
e_rad;0.0646482
mass;1.38
e_mass;0.231251
rho;0.414915
e_rho;0.0959508
lumclass;DWARF
lum;3.83915067
e_lum;0.159339
d;95.3906
e_d;0.4497
ebv;0
e_ebv;0
numcont;3500
contratio;0.02591102
disposition;
duplicate_id;
priority;0.00037354
eneg_EBV;0
epos_EBV;0
EBVflag;
eneg_Mass;0.173402
epos_Mass;0.289101
eneg_Rad;0.0646724
epos_Rad;0.0646241
eneg_rho;0.109223
epos_rho;0.0826786
eneg_logg;0.107562
epos_logg;0.0671799
eneg_lum;0.135009
epos_lum;0.183669
eneg_dist;0.4476
epos_dist;0.4518
distflag;bj2018
eneg_Teff;133.63
epos_Teff;117.778
TeffFlag;spect
gaiabp;8.32696
e_gaiabp;0.000527
gaiarp;7.75079
e_gaiarp;0.000607
gaiaqflag;1
starchareFlag;
VmagFlag;hipvmag
BmagFlag;tycho2b3
splists;
e_RA;0.919355896
e_Dec;0.875797007
RA_orig;197.3171237
Dec_orig;-60.3084347
e_RA_orig;0.028238307
e_Dec_orig;0.032714115
raddflag;1
wdflag;0
dstArcSec;0
